"COUNTRY","Country","VARIABLE","Variable","MEASURE","Measure","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ARM","Armenia","I-CPV-RD","Road infrastructure capital value","NAT","National currency","2016","2016","AMD","Armenian Dram","0","Units",,,3640400000,,
"ARM","Armenia","I-CPV-IWW","Inland waterway infrastucture capital value","NAT","National currency","2000","2000","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-IWW","Inland waterway infrastucture capital value","NAT","National currency","2001","2001","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-IWW","Inland waterway infrastucture capital value","NAT","National currency","2002","2002","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-IWW","Inland waterway infrastucture capital value","NAT","National currency","2003","2003","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-IWW","Inland waterway infrastucture capital value","NAT","National currency","2004","2004","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-IWW","Inland waterway infrastucture capital value","NAT","National currency","2005","2005","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-IWW","Inland waterway infrastucture capital value","NAT","National currency","2006","2006","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-IWW","Inland waterway infrastucture capital value","NAT","National currency","2007","2007","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-IWW","Inland waterway infrastucture capital value","NAT","National currency","2008","2008","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-IWW","Inland waterway infrastucture capital value","NAT","National currency","2009","2009","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-IWW","Inland waterway infrastucture capital value","NAT","National currency","2010","2010","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-IWW","Inland waterway infrastucture capital value","NAT","National currency","2011","2011","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-IWW","Inland waterway infrastucture capital value","NAT","National currency","2012","2012","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-IWW","Inland waterway infrastucture capital value","NAT","National currency","2013","2013","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-IWW","Inland waterway infrastucture capital value","NAT","National currency","2014","2014","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-IWW","Inland waterway infrastucture capital value","NAT","National currency","2015","2015","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-IWW","Inland waterway infrastucture capital value","NAT","National currency","2016","2016","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-IWW","Inland waterway infrastucture capital value","NAT","National currency","2017","2017","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-IWW","Inland waterway infrastucture capital value","NAT","National currency","2018","2018","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-IWW","Inland waterway infrastucture capital value","NAT","National currency","2019","2019","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-IWW","Inland waterway infrastucture capital value","NAT","National currency","2020","2020","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-IWW","Inland waterway infrastucture capital value","NAT","National currency","2021","2021","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-SEA","Maritime port infrastructure capital value","NAT","National currency","2000","2000","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-SEA","Maritime port infrastructure capital value","NAT","National currency","2001","2001","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
"ARM","Armenia","I-CPV-SEA","Maritime port infrastructure capital value","NAT","National currency","2002","2002","AMD","Armenian Dram","0","Units",,,,"M","Missing value; data cannot exist"
